Aspects,MLP,RNN,TextCNN,Transformer,BERT,BertForABSC
ALL,0.7747788614198231,0.7899750510319801,0.7960988886368792,0.7811295078249036,0.8278521206622816,0.8339759582671807
VALUE,0.7665198237885462,0.7929515418502202,0.8002936857562408,0.7709251101321586,0.8296622613803231,0.8296622613803231
LOCATION,0.7949061662198391,0.7868632707774799,0.8083109919571045,0.7949061662198391,0.8257372654155496,0.8270777479892761
SERVICE,0.7916241062308478,0.8079673135852911,0.8120531154239019,0.7946884576098059,0.849846782431052,0.8559754851889684
ROOMS,0.7787481804949054,0.7976710334788938,0.8064046579330422,0.7831149927219796,0.8253275109170306,0.8355167394468704
CLEANLINESS,0.7428571428571429,0.7642857142857142,0.76,0.7657142857142857,0.8057142857142857,0.8257142857142857
SLEEP QUALITY,0.7646103896103896,0.7824675324675324,0.7808441558441559,0.7694805194805194,0.8214285714285714,0.8198051948051948
